#Time_millis number_of_S number_of_I number_of_R
51518 136 347 17
51618 136 346 18
51718 132 350 18
51818 131 351 18
51919 125 357 18
52019 123 359 18
52119 122 360 18
52219 123 357 20
52319 121 357 22
52420 120 358 22
52520 119 359 22
52620 118 359 23
52720 116 360 24
52820 114 361 25
52921 112 361 27
53021 110 362 28
53121 107 365 28
53221 105 366 29
53321 104 367 29
53421 100 369 31
53522 96 373 31
53622 96 373 31
53722 98 373 29
53822 97 376 27
53922 97 377 26
54023 95 380 25
54123 92 383 25
54223 87 384 29
54323 86 382 32
54423 80 386 34
54523 80 386 34
54624 79 386 35
54724 75 389 36
54824 73 390 37
54924 73 388 39
55024 73 385 42
55124 72 385 43
55225 73 386 41
55326 71 385 44
55426 70 383 47
55526 71 383 46
55626 69 384 47
55726 67 383 50
55827 65 384 51
55927 64 384 52
56027 62 384 54
56127 60 385 55
56227 60 384 56
56327 60 384 56
56428 60 384 56
56528 59 384 57
56628 58 384 58
56728 58 384 58
56828 57 385 58
56928 57 384 59
57029 56 384 60
57129 54 386 60
57229 54 385 61
57329 53 384 63
57429 52 384 64
57530 52 383 65
57630 50 384 66
57730 50 383 67
57830 50 383 67
57930 49 382 69
58030 48 382 70
58131 48 381 71
58231 47 382 71
58331 47 381 72
58431 46 382 72
58531 47 382 71
58631 46 383 71
58731 46 383 71
58832 45 384 71
58932 44 383 73
59032 41 384 75
59132 41 382 77
59232 41 380 79
59332 41 379 80
59433 38 382 80
59533 37 383 80
59633 36 384 80
59733 35 383 82
59833 35 380 85
59934 34 380 86
60034 34 379 87
60134 33 380 87
60234 33 380 87
60334 33 381 86
60434 33 381 86
60535 33 380 87
60635 33 377 90
60735 33 377 90
60835 32 378 90
60935 31 379 90
61035 32 379 89
61136 31 380 89
61236 31 379 90
61336 30 380 90
61436 30 379 91
61536 29 377 94
61636 30 374 96
61737 30 371 99
61837 30 369 101
61937 29 369 102
62037 29 369 102
62137 29 369 102
62237 32 368 100
62338 33 368 99
62438 32 368 100
62538 32 365 103
62638 31 366 103
62738 32 363 105
62838 32 361 107
62939 34 359 107
63039 35 358 107
63139 35 358 107
63239 36 357 107
63339 36 355 109
63440 37 353 110
63540 36 350 114
63640 36 347 117
63740 36 346 118
63840 36 343 121
63940 36 343 121
64041 36 342 122
64141 35 335 130
64241 38 332 130
64341 39 333 128
64441 41 331 128
64541 41 327 132
64642 43 327 130
64742 44 324 132
64842 43 325 132
64942 44 322 134
65042 47 319 134
65142 47 317 136
65243 47 313 140
65343 50 312 138
65443 53 309 138
65543 53 306 141
65643 55 301 144
65743 56 299 145
65844 57 297 146
65944 59 296 145
66044 61 295 144
66144 61 290 149
66244 62 284 154
66344 62 281 157
66445 62 279 159
66545 63 276 161
66645 64 272 164
66745 63 266 171
66845 62 266 172
66945 63 264 173
67046 64 262 174
67146 64 260 176
67246 64 259 177
67346 65 259 176
67446 67 255 178
67547 67 249 184
67647 68 244 188
67747 69 243 188
67847 69 237 194
67947 71 233 196
68047 71 232 197
68148 72 232 196
68248 72 229 199
68348 73 225 202
68448 73 224 203
68548 73 219 208
68649 72 218 210
68749 72 216 212
68849 72 214 214
68949 74 214 212
69049 76 209 215
69149 78 206 216
69250 80 201 219
69350 81 196 223
69450 81 194 225
69550 81 192 227
69650 81 191 228
69750 83 190 227
69851 86 185 229
69951 88 184 228
70051 88 183 229
70151 88 178 234
70251 88 177 235
70352 88 176 236
70452 88 171 241
70552 89 168 243
70652 90 166 244
70752 90 165 245
70853 90 164 246
70953 91 161 248
71053 91 160 249
71153 91 160 249
71253 92 155 253
71353 92 153 255
71454 93 151 256
71554 96 151 253
71654 99 150 251
71754 102 146 252
71857 104 143 253
71957 105 139 256
